瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),1矫埃 弥促 碍荐樊 矫阿(hhmi),乞闭 浅加(m/s),乞闭 惑措嚼档(%),乞闭 泅瘤扁拘(hPa)
239,技辆,2020-05-30,22.2,15.1,29.1,,1,58,1005.6
239,技辆,2020-05-31,21.4,16.1,26.7,,1.1,61.5,1001
239,技辆,2020-06-01,20.3,15.4,25.7,12,1.9,55.9,999.9
239,技辆,2020-06-02,18.6,13.5,23.5,,1.2,64.1,997.3
239,技辆,2020-06-03,22.2,17.7,28.1,107,1.1,74.8,993.5
239,技辆,2020-06-04,24.3,20.9,30,,1.5,68.5,993.8
239,技辆,2020-06-05,24.1,20.6,29.9,,1.1,72.5,996.5
239,技辆,2020-06-06,23.7,18.6,31.1,1801,1.6,69.6,997.8
239,技辆,2020-06-07,22.8,18.9,28.6,,1.2,70.4,1001.2
239,技辆,2020-06-08,24.8,17.2,31.5,,1.1,61.4,1004.1
239,技辆,2020-06-09,26,18,33.2,,1.2,54.1,1003.7
239,技辆,2020-06-10,24.6,20,32.8,2301,1.1,69.3,998.4
239,技辆,2020-06-11,24.9,20.5,30.8,1,1.3,76,993.1
239,技辆,2020-06-12,23.5,20.5,26.4,2213,.8,86.3,994.6
239,技辆,2020-06-13,24.2,21.2,30.4,1959,1.4,83,994.1
239,技辆,2020-06-14,23.8,20.1,28.2,2,1.3,75.6,994.2
239,技辆,2020-06-15,22.4,17.1,28.5,,1.3,64,996.6
239,技辆,2020-06-16,23.2,18.2,28.7,,1.1,69.5,995.5
239,技辆,2020-06-17,22.4,19,27.7,,.9,70.3,995.2
239,技辆,2020-06-18,20.7,18.8,23.1,,1.5,74.1,992.5
239,技辆,2020-06-19,23.1,17.9,28.9,119,1.1,70.1,995.8
239,技辆,2020-06-20,23.3,18.7,29.2,,1.2,76.5,999.7
239,技辆,2020-06-21,24.9,19.2,31.6,,1.3,64,997.4
239,技辆,2020-06-22,26.4,19.5,33.4,,1.2,62.3,997.7
239,技辆,2020-06-23,25.7,20.2,31,,1,68,998
239,技辆,2020-06-24,22.4,20.4,25.6,1231,1.4,79.1,992.9
239,技辆,2020-06-25,21.3,19.9,23.1,125,1.2,88,991.9
239,技辆,2020-06-26,22.6,19.2,27.6,,1.4,74.8,996.5
239,技辆,2020-06-27,23.8,19.1,29.1,,1,71.8,994.9
239,技辆,2020-06-28,23.7,18.4,29.7,,1.1,70.5,994.4
239,技辆,2020-06-29,22,19.9,27.1,1957,2.1,84.4,990.6
239,技辆,2020-06-30,19.8,18.3,20.8,245,1.9,92.4,982.3
239,技辆,2020-07-01,20.8,17.1,25.4,19,1.1,78.4,994.6
239,技辆,2020-07-02,23.2,17.6,28.2,,.9,74,1000.4
239,技辆,2020-07-03,21.9,19.3,24.3,2108,1.7,73.3,1000
239,技辆,2020-07-04,21.4,18.8,26.6,,1.2,76,996.8
239,技辆,2020-07-05,22.5,19.4,26.8,,.7,77.3,994
239,技辆,2020-07-06,24.1,19.4,29.4,,1,77.3,990.7
239,技辆,2020-07-07,24.1,21.5,28.9,,1.2,77.8,993.6
239,技辆,2020-07-08,24.2,18.6,29.9,,1,75.8,994.4
239,技辆,2020-07-09,25.7,19.7,30.6,,1.8,70.1,993.4
239,技辆,2020-07-10,25.1,21.6,28.9,419,1.9,77.8,990.9
239,技辆,2020-07-11,25.4,21.9,29.8,,1,72.6,996.2
239,技辆,2020-07-12,22.1,19.1,25.3,2250,2.2,81.6,998.6
239,技辆,2020-07-13,18.6,17.5,19.6,356,2.6,93.9,991.5
239,技辆,2020-07-14,19.2,18.1,20.8,716,1.3,94.4,992.3
239,技辆,2020-07-15,20.9,18.3,25.3,145,1.1,88,995
239,技辆,2020-07-16,22.8,18.9,28.6,,.9,77.8,996.6
239,技辆,2020-07-17,24.1,18.3,30.5,,1,75.8,998
239,技辆,2020-07-18,24.6,20.7,28.8,,1.3,68.9,998.1
239,技辆,2020-07-19,24.7,20,28.2,402,1.7,78.9,994.9
239,技辆,2020-07-20,24.1,21.7,29.2,514,1.9,84.9,996.3
239,技辆,2020-07-21,24.8,21.1,29.8,,.9,73.4,1001.1
239,技辆,2020-07-22,22.9,20.9,24.9,529,.8,91.4,999.3
239,技辆,2020-07-23,21.5,20.6,22.7,1425,2.3,93,994.2
239,技辆,2020-07-24,21.2,19.4,23.5,442,1.7,90.9,987.2
239,技辆,2020-07-25,22.5,20.6,26.2,1701,1.4,89,992.2
239,技辆,2020-07-26,23.6,21.2,28.1,,.9,87.9,996.5
239,技辆,2020-07-27,23.7,21.6,27.3,122,1.1,88,997.8
239,技辆,2020-07-28,23.9,21.4,26.6,121,1.2,89,999.7
239,技辆,2020-07-29,24.6,22.9,26.5,600,.8,94.3,1001.5
239,技辆,2020-07-30,25.2,23.8,27.5,644,1,93.8,1003
239,技辆,2020-07-31,25.9,23.6,30.4,1930,.8,89,1003.5
239,技辆,2020-08-01,25.2,23,30.5,2259,1.2,89.5,1000.5
239,技辆,2020-08-02,26.9,23.1,29.8,1,2,84.6,998.2
239,技辆,2020-08-03,26.2,23.2,29.1,1502,1.8,83.9,998.6
239,技辆,2020-08-04,27.2,24.9,31.4,1750,1.7,84,1001.1
239,技辆,2020-08-05,26,24.7,30,1134,1,92.5,1001
239,技辆,2020-08-06,25,22.7,27.4,333,2.2,90.8,996.2
239,技辆,2020-08-07,23,22.2,24,2301,1,94.6,996.2
239,技辆,2020-08-08,23.7,22.4,25.5,647,.9,96,992.7
239,技辆,2020-08-09,26.5,24,28.9,345,1.8,83.4,993
239,技辆,2020-08-10,26.2,24.8,29.3,2301,1.3,89.1,993.6
239,技辆,2020-08-11,25.1,23.8,27.1,32,1.4,92.3,999.2
239,技辆,2020-08-12,26.7,24.1,30.2,1229,.7,91.8,1002.1
239,技辆,2020-08-13,28.2,24.8,32,,1.2,81.6,999.2
239,技辆,2020-08-14,28.2,26.4,31.5,,2,79.1,996.2
239,技辆,2020-08-15,28.3,25.5,32.3,,1.5,78.6,998.5
239,技辆,2020-08-16,27.6,23.9,32.3,,1.3,77.3,1000.9
239,技辆,2020-08-17,27.8,24,33.1,,.7,80,1003.2
239,技辆,2020-08-18,27.6,23.4,33.2,,1.1,80.8,1002.5
239,技辆,2020-08-19,27.5,23.4,33.2,,1.3,78.4,1001
239,技辆,2020-08-20,27.9,23.2,33.3,,1.1,76.5,1001.8
239,技辆,2020-08-21,27.8,23,33.5,,1.1,78.6,1003.1
239,技辆,2020-08-22,25.6,23.2,30.5,1338,1.3,83.8,1001.7
239,技辆,2020-08-23,26,22.4,31.4,,1.1,77.8,998
239,技辆,2020-08-24,27.4,22.3,32.7,,1.1,75.8,994.8
239,技辆,2020-08-25,29.1,24,34.8,,1.1,71,994.4
239,技辆,2020-08-26,28.9,25.8,33.4,2253,3.1,70.9,990.8
239,技辆,2020-08-27,27.8,25.6,31.5,1806,2.1,81,991.6
239,技辆,2020-08-28,27.8,24.2,33.5,1925,1.2,82.1,996.7
239,技辆,2020-08-29,26.2,24.1,31.4,1844,1.1,90,998.9
239,技辆,2020-08-30,27,24.6,32.6,2204,1,87.5,1000.7
239,技辆,2020-08-31,26.7,24.3,30.9,,2.3,77.8,1001.6
239,技辆,2020-09-01,26.6,22.7,30.9,,2,70.1,998.6
239,技辆,2020-09-02,24.2,22.8,26,2300,2.1,92.4,991.2
239,技辆,2020-09-03,22.9,20.6,26.6,348,3.3,79,988.4
239,技辆,2020-09-04,23.4,20.2,28.4,,1.6,70.3,1002.1
239,技辆,2020-09-05,21.9,19.5,24.9,,1.3,74.5,1003
239,技辆,2020-09-06,20.7,18.1,24.9,2301,1.8,79.6,997.5
239,技辆,2020-09-07,19.1,16.3,21.8,1,3.4,88,982.9
239,技辆,2020-09-08,23.4,20.4,27.7,,1.9,73.5,999.7
239,技辆,2020-09-09,21.3,18.2,25.2,145,1.3,81.9,999.8
239,技辆,2020-09-10,22.1,18.3,27.7,,.8,79.8,998.7
239,技辆,2020-09-11,21.4,18.4,25.2,2212,1.4,80.3,1003.4
239,技辆,2020-09-12,19,17.3,20.1,640,1.4,89,1004.6
239,技辆,2020-09-13,21,17.8,26.6,,1.2,71.9,1004.7
239,技辆,2020-09-14,20.9,15.2,27.6,,1.1,77.1,1004
239,技辆,2020-09-15,21.7,17.6,28.4,,.9,80,1002.1
239,技辆,2020-09-16,20.6,19.4,22.5,135,.9,93.5,999.3
239,技辆,2020-09-17,20.7,17.7,23.4,1701,1,90.5,1000.1
239,技辆,2020-09-18,19.9,15.9,25.2,,1.2,73.9,1003.2
239,技辆,2020-09-19,19,14.7,26.1,,1.4,77.1,1005.3
239,技辆,2020-09-20,17.8,12.8,24.8,,1.6,69.4,1006.7
239,技辆,2020-09-21,17.4,12.2,24.1,,.9,68.4,1007.5
239,技辆,2020-09-22,19.1,14.5,23.8,,1.6,62.6,1007.5
239,技辆,2020-09-23,18.5,13.5,23.1,,1.5,66.1,1006.6
239,技辆,2020-09-24,20.2,15.3,25.9,,1.8,63,1003.8
239,技辆,2020-09-25,20,14.3,26,,1.6,63.9,1002
239,技辆,2020-09-26,19.4,15.2,24.7,,1.7,60.5,1005.1
239,技辆,2020-09-27,19,13.8,25.2,,1,68.1,1007.6
239,技辆,2020-09-28,18.2,13.5,25.1,,.9,69.3,1006.1
239,技辆,2020-09-29,18.2,12.7,24.2,,1.2,70,1001.1
239,技辆,2020-09-30,18.6,13.9,25,,.8,76.5,1000.1
239,技辆,2020-10-01,19.2,15.4,24.3,,1.1,74.6,1003
239,技辆,2020-10-02,19.5,15.3,24.6,,1.1,73.3,1004.5
239,技辆,2020-10-03,18.9,17.1,22.7,37,.9,89.8,1004.6
239,技辆,2020-10-04,17.2,12.1,20.8,,1.6,75.3,1002.3
239,技辆,2020-10-05,13.1,6.1,19.5,,1.7,60.3,1007.5
239,技辆,2020-10-06,13.3,8,19.5,,1.2,63.8,1011.4
239,技辆,2020-10-07,15.8,9.8,22.3,,1.3,62,1014.2
239,技辆,2020-10-08,17.2,12.4,22.2,,2.2,50.4,1015.1
239,技辆,2020-10-09,17.2,10.8,22.7,,2.4,52.8,1011.7
239,技辆,2020-10-10,16.7,10.8,22.4,,1.3,61.8,1008.4
239,技辆,2020-10-11,16.2,11.9,21,,1.1,74.3,1005.3
239,技辆,2020-10-12,16,11.8,22.5,,1.2,76.1,1004.9
239,技辆,2020-10-13,11.7,7.4,17.8,,1.1,68.1,1010.3
239,技辆,2020-10-14,11.6,7.4,19.4,,1.2,66.9,1014.1
239,技辆,2020-10-15,10.8,5.1,18,,1.1,55.5,1014.9
239,技辆,2020-10-16,10.8,6.3,15.7,,.5,72.8,1013.1
239,技辆,2020-10-17,12.1,7.4,19.5,,1,68.9,1012.5
239,技辆,2020-10-18,11.4,4.7,19.4,,1,69.3,1013.4
239,技辆,2020-10-19,12.7,6.9,21.6,,.8,69.1,1014.2
239,技辆,2020-10-20,12.9,7.6,21.1,,.6,74.4,1014.8
239,技辆,2020-10-21,12.9,9.3,16.3,,.6,78.4,1008.4
239,技辆,2020-10-22,12.7,9.5,18.1,,1.4,71,1003.4
239,技辆,2020-10-23,9.5,6.3,14.6,,1.8,55.4,1004.4
239,技辆,2020-10-24,8,1.8,13.4,,1.7,58.4,1008.4
239,技辆,2020-10-25,10.6,3,19.4,,1,66.9,1009.7
239,技辆,2020-10-26,11.3,5,18.8,,.7,68.4,1009.4
239,技辆,2020-10-27,12.3,5.7,20.4,,.7,72.6,1010.5
239,技辆,2020-10-28,13,8.6,20.2,,1.2,59.3,1012
239,技辆,2020-10-29,9.1,2.8,16.5,,.9,53.4,1013.1
239,技辆,2020-10-30,10.2,3,18.6,,.6,60.6,1014.4
239,技辆,2020-10-31,12.7,6.3,19.7,,.8,60.8,1013.9
239,技辆,2020-11-01,11.9,11,12.8,,1,86.1,1009.8
239,技辆,2020-11-02,10.7,4,16.6,,1.3,60.9,1009.7
239,技辆,2020-11-03,5.9,1.5,8.9,,2.7,49.9,1011.3
239,技辆,2020-11-04,4,-2.1,10.7,,1.2,54.3,1014.8
239,技辆,2020-11-05,7.5,-.7,15.1,,.7,60.4,1016.3
239,技辆,2020-11-06,11.2,8.1,14,,.6,71.4,1010.9
239,技辆,2020-11-07,13.2,7.7,19.5,,1.1,64.3,1007.8
239,技辆,2020-11-08,8.9,4.7,14.9,,2.2,47.6,1011.8
239,技辆,2020-11-09,6.5,-1,11.5,,1.2,45.5,1014.6
239,技辆,2020-11-10,7.6,2.6,13.1,,1.5,51.4,1017.6
239,技辆,2020-11-11,7.9,1.1,16.1,,.5,57.3,1020.8
239,技辆,2020-11-12,9.2,1.7,18.5,,.6,58,1019.3
239,技辆,2020-11-13,9.7,3.6,16.8,,.6,71.3,1017.9
239,技辆,2020-11-14,10.2,4.3,18.7,,.7,69.8,1018.3
239,技辆,2020-11-15,11,4.8,18.6,,.8,69.4,1016.4
239,技辆,2020-11-16,10.9,5.6,17.5,,.5,74.5,1015.1
239,技辆,2020-11-17,15,10.3,19.4,,.8,73.1,1013
239,技辆,2020-11-18,15.8,12.6,18.6,,.8,91.1,1005.7
239,技辆,2020-11-19,15.8,10,22,,2.4,81.5,998.4
239,技辆,2020-11-20,5.8,3.9,10,,2.1,71.9,1008.5
239,技辆,2020-11-21,7.8,.6,14.4,,1.6,61.4,1012.2
239,技辆,2020-11-22,7.1,4.3,9.6,,1.6,77.5,1011.6
239,技辆,2020-11-23,3.3,-.2,7.5,,1.7,57.5,1016.9
239,技辆,2020-11-24,4.1,-.1,9.4,,1,47.6,1017.1
239,技辆,2020-11-25,4.7,-.8,11.2,,1.1,61.8,1016.3
239,技辆,2020-11-26,6.2,2.1,11.6,,.9,60.3,1015.5
239,技辆,2020-11-27,4.8,2.8,8.8,,1.5,61,1015
239,技辆,2020-11-28,2.3,.7,5,,2,50.1,1017.5
239,技辆,2020-11-29,1.5,-.8,4.2,,1.2,64.4,1018.7
239,技辆,2020-11-30,.9,-3.2,6.1,,1.2,64.1,1023.3
239,技辆,2020-12-01,1,-3.7,7.4,,1,51,1023.7
239,技辆,2020-12-02,3.2,0,8.5,,1.2,42.3,1019.1
239,技辆,2020-12-03,1.5,-2.6,6,,1.4,50.5,1018.5
239,技辆,2020-12-04,-.3,-5.4,5.5,,1,60.5,1019
239,技辆,2020-12-05,0,-3.7,5,,.6,78.9,1018.8
239,技辆,2020-12-06,2.7,-2.1,9.1,,.7,73.6,1017.2
239,技辆,2020-12-07,3.1,-.6,7.3,,1.4,65.3,1016.8
239,技辆,2020-12-08,.4,-3.1,5.7,,1,55.9,1017.6
239,技辆,2020-12-09,.8,-5.8,6.5,,.7,55.6,1015.6
239,技辆,2020-12-10,5.2,1.8,10.1,,.7,62,1011.5
239,技辆,2020-12-11,5.9,2,10.6,,.8,66.8,1008.7
239,技辆,2020-12-12,3.7,-1.9,7.8,,2,41.3,1008.3
239,技辆,2020-12-13,-.1,-3,5.1,,1.8,66.5,1007.8
239,技辆,2020-12-14,-5.3,-7.1,-2.8,,3.1,49.3,1017.3
239,技辆,2020-12-15,-6.2,-9.8,-2.2,,2.5,45.5,1019.7
239,技辆,2020-12-16,-6,-9,-1.7,,1.9,48.9,1019.8
239,技辆,2020-12-17,-4.2,-9.5,1.3,,1,56.8,1019.4
239,技辆,2020-12-18,-1,-3.9,3.3,,1.9,60.9,1017.1
239,技辆,2020-12-19,-3.9,-7.3,0,,1.8,37.1,1021.8
239,技辆,2020-12-20,-3,-7.3,2.7,,1,50.8,1021.1
239,技辆,2020-12-21,-.6,-6.4,4.7,,.7,66.4,1018
239,技辆,2020-12-22,1.3,-3.5,7.3,,.8,67.9,1015.3
239,技辆,2020-12-23,3,-3.1,8.2,,.8,70.1,1011.8
239,技辆,2020-12-24,3.7,-.4,9,,1.6,56.9,1007.6
239,技辆,2020-12-25,.3,-3.2,4.9,,1.2,59.8,1012.7
239,技辆,2020-12-26,1.2,-4.4,6.6,,.8,70.5,1013.8
239,技辆,2020-12-27,2.9,-2,8.5,,.4,76,1010.9
239,技辆,2020-12-28,5.1,-.6,12.2,,.7,64.8,1012.3
239,技辆,2020-12-29,.4,-3.4,5.1,,1.6,80,1009.9
239,技辆,2020-12-30,-8.5,-11.1,-3.4,,3.3,64,1011.7
239,技辆,2020-12-31,-8.6,-13.8,-2.7,,1.3,67.8,1015.1
239,技辆,2021-01-01,-5.5,-10.8,-2.2,,.6,86.8,1014.7
239,技辆,2021-01-02,-4.5,-7.8,-.2,,1.2,64.8,1018
239,技辆,2021-01-03,-4.6,-9.2,-1,,.8,59.1,1022.7
239,技辆,2021-01-04,-3.4,-9,1.3,,.7,60.9,1019.6
239,技辆,2021-01-05,-3.7,-8.6,-.8,,2.4,55.1,1018.3
239,技辆,2021-01-06,-6.3,-11.2,-2.8,,1.2,64.6,1012.7
239,技辆,2021-01-07,-12,-15.4,-4.2,,3.6,52.8,1014.4
239,技辆,2021-01-08,-14.3,-17.9,-9.9,,1.3,54,1013.7
239,技辆,2021-01-09,-12.5,-19.1,-7.7,,1.1,61.8,1013.8
239,技辆,2021-01-10,-9,-15.6,-3.3,,.7,59.8,1016.5
239,技辆,2021-01-11,-6.9,-10.6,-3.5,,.5,67.1,1014.9
239,技辆,2021-01-12,-2.4,-7.6,2.7,,1,75.4,1007.1
239,技辆,2021-01-13,2.6,-5,9.3,,1.1,79.4,1004.9
239,技辆,2021-01-14,2.7,-2.9,8.8,,.9,49.6,1010.5
239,技辆,2021-01-15,5.3,-.3,12.4,,1.5,64,1005.9
239,技辆,2021-01-16,-2,-5.4,2,,2,54.9,1014.1
239,技辆,2021-01-17,-3.7,-8.4,.7,,1.3,57.6,1016.3
239,技辆,2021-01-18,-2.4,-5.3,3.6,,1.9,70,1010.7
239,技辆,2021-01-19,-5.6,-10.5,-.7,,1.1,43.6,1020.5
239,技辆,2021-01-20,-1.3,-8.8,6.9,,.5,49.9,1018.7
239,技辆,2021-01-21,3.8,-.9,8.6,,.6,67.9,1012.1
239,技辆,2021-01-22,6.1,4.1,8.3,,.7,94,1008.1
239,技辆,2021-01-23,8.1,4.7,11.9,,1.9,72.3,1008.3
239,技辆,2021-01-24,7.4,2.3,12.6,,1,60.4,1014.4
239,技辆,2021-01-25,7.8,2.3,13.4,,1.1,58.5,1014.4
239,技辆,2021-01-26,5.2,3.5,7.1,,.9,82.4,1009.2
239,技辆,2021-01-27,2.5,-.5,6.8,,1.7,45,1012.3
239,技辆,2021-01-28,-2.4,-7.1,4.5,,2.5,57.5,1007
239,技辆,2021-01-29,-6.7,-9.5,-3,,2.5,49.8,1015.4
239,技辆,2021-01-30,-.3,-8.7,8.4,,1.3,54,1014.8
239,技辆,2021-01-31,3.8,-4.8,11.4,,.8,59.4,1015.3
239,技辆,2021-02-01,6.2,1.5,10.9,,1.3,77.6,1006
239,技辆,2021-02-02,-3.4,-5.3,1.7,,2.7,43.5,1014.8
239,技辆,2021-02-03,-2.4,-9.7,2.9,,1.6,56.5,1014.6
239,技辆,2021-02-04,-1.5,-5,1.6,,1.6,47.6,1015.8
239,技辆,2021-02-05,.3,-6.5,7.1,,.8,52.9,1010.5
239,技辆,2021-02-06,5.5,-1.3,10.3,,1.3,66.1,1005.2
239,技辆,2021-02-07,4.9,-1,10.6,,1.7,61.5,1010.1
239,技辆,2021-02-08,-2.2,-4.4,.6,,2.4,42,1017.1
239,技辆,2021-02-09,-.9,-8.1,5.7,,1.1,49.8,1017.3
239,技辆,2021-02-10,1.8,-4.6,8.8,,.8,65.5,1014.6
239,技辆,2021-02-11,4.7,-.7,10.8,,.6,62.9,1014.1
239,技辆,2021-02-12,6.4,-.1,14.4,,.7,52.1,1013.6
239,技辆,2021-02-13,7,-.6,15.7,,.5,42.4,1013
239,技辆,2021-02-14,8.5,3.9,14,,.6,57.6,1004.2
239,技辆,2021-02-15,2.3,-2.5,8.5,,2.2,61.4,1001.4
239,技辆,2021-02-16,-3.7,-6.5,2.3,,2,59.4,1005.6
239,技辆,2021-02-17,-7.1,-8.8,-5.3,,3.3,50.5,1007.9
239,技辆,2021-02-18,-4.8,-9.3,-.3,,2,55.5,1011.1
239,技辆,2021-02-19,1.8,-7.4,8.9,,1.7,62.4,1007.1
239,技辆,2021-02-20,10.7,6,16.8,,2.3,57.9,999.8
239,技辆,2021-02-21,14,4.8,22,,2.6,47.9,999.6
239,技辆,2021-02-22,10.4,1,18.6,,2.7,44.9,1003.8
239,技辆,2021-02-23,1.2,-2.8,7.3,,2,33.6,1014.4
239,技辆,2021-02-24,3.4,-2.3,10.4,,.8,30.8,1013.8
239,技辆,2021-02-25,4.2,-.5,7.7,,.8,51.4,1012.4
239,技辆,2021-02-26,8.4,2.4,14.8,,1.8,38.8,1011.9
239,技辆,2021-02-27,7.9,3.7,11.9,,2.9,45.6,1017.3
239,技辆,2021-02-28,7.1,1.3,12.9,,1.5,59.6,1015
239,技辆,2021-03-01,7.5,1.6,11.3,,1.9,92.6,1002.6
239,技辆,2021-03-02,2.6,0,6.9,,1.9,72.6,1013.4
239,技辆,2021-03-03,3.7,-2.3,9.8,,.9,60.3,1018
239,技辆,2021-03-04,5.1,1.2,9.5,,.7,75.6,1013.3
239,技辆,2021-03-05,7.6,.9,16.5,,1.1,71.8,1009.9
239,技辆,2021-03-06,6.6,3.4,14.1,,2.2,70.6,1015.3
239,技辆,2021-03-07,6.1,3.7,11.3,,1.8,65.5,1016.9
239,技辆,2021-03-08,6.6,.9,13.6,,1,62,1015.6
239,技辆,2021-03-09,6.4,.1,13.4,,1.2,57.8,1014.8
239,技辆,2021-03-10,8.6,-.4,17,,1.1,47.8,1017.1
239,技辆,2021-03-11,9.9,2.1,17.8,,1.2,46.8,1014.7
239,技辆,2021-03-12,8.2,6.8,9.8,,1.5,77.4,1010.5
239,技辆,2021-03-13,8.4,2.8,15,,1.3,68.1,1010.4
239,技辆,2021-03-14,8.4,2.3,14.6,,1.2,68.3,1009.4
239,技辆,2021-03-15,11,3.1,16.9,,1.2,59.8,1005.6
239,技辆,2021-03-16,10,3.4,15.5,,2.2,47,1004.7
239,技辆,2021-03-17,8.3,.1,18.2,,1.1,45,1008
239,技辆,2021-03-18,11.5,3.1,19.5,,1.2,50,1008.5
239,技辆,2021-03-19,13.2,9.6,17.8,,2.9,48.1,1007.8
239,技辆,2021-03-20,8.2,6.2,11.9,,1.4,84.5,1002.6
239,技辆,2021-03-21,5.8,3.8,10,,2.4,62.8,1004.8
239,技辆,2021-03-22,6.1,.8,12.3,,1.9,47,1010.2
239,技辆,2021-03-23,8.8,.8,17,,1.5,58.1,1010.6
239,技辆,2021-03-24,10.5,2.8,18.2,,1.3,49,1009.7
239,技辆,2021-03-25,12.2,4.3,21.1,,1.1,52.9,1010.3
239,技辆,2021-03-26,13,4,21.7,,.9,48.8,1009.5
239,技辆,2021-03-27,12,8.6,14.8,,1,71,999.5
239,技辆,2021-03-28,9.6,8.6,14.5,,1.8,89.5,993.8
239,技辆,2021-03-29,11.7,7.7,17,,1.7,51.9,998.1
239,技辆,2021-03-30,11.7,5,18.8,,1.5,35.6,1001.8
239,技辆,2021-03-31,13.7,3.8,23.3,,.8,33.9,1003.3
239,技辆,2021-04-01,15.6,11.2,20.7,,3.4,34.3,1007.7
239,技辆,2021-04-02,17.1,12,22.3,,2.8,43,1008
239,技辆,2021-04-03,15.8,14.3,17.7,1515,1.3,79.4,1001
239,技辆,2021-04-04,11.2,9.2,14.3,704,2,78.4,1003.9
239,技辆,2021-04-05,11.2,4.2,17.5,,1.3,41.1,1011
239,技辆,2021-04-06,12.7,5.5,19.8,,1.7,44.5,1009.5
239,技辆,2021-04-07,13.4,5,21.9,,1.7,42.4,1008.7
239,技辆,2021-04-08,12.4,5.2,19.1,,1.9,34.9,1007.6
239,技辆,2021-04-09,11.7,4.2,18.9,,1.9,44,1013.5
239,技辆,2021-04-10,12.1,6.5,19.9,,1.8,46.6,1019.4
239,技辆,2021-04-11,14.6,5.7,22.5,,1,46.6,1018
239,技辆,2021-04-12,13.2,11.9,16.1,1957,1.2,72.1,1007
239,技辆,2021-04-13,10.2,3.9,16.2,14,2,71.3,1002.8
239,技辆,2021-04-14,9,1.3,15.9,,1.9,46.3,1008.4
239,技辆,2021-04-15,10.4,.7,18.3,,1.1,46.1,1007.9
239,技辆,2021-04-16,10.9,7.4,15.2,1355,1.2,73.1,1005.8
239,技辆,2021-04-17,9.5,6.2,16.3,,1.8,58.8,1004.5
239,技辆,2021-04-18,10.3,5.9,16.5,,2,50.3,1006.1
239,技辆,2021-04-19,12.1,3.1,21.6,,1.5,56.1,1007.2
239,技辆,2021-04-20,14.6,5.7,24.3,,1.1,49.3,1010
239,技辆,2021-04-21,18.5,8.9,28.7,,.9,37.8,1010.5
239,技辆,2021-04-22,21.3,14,29.8,,1.6,29.6,1007.9
239,技辆,2021-04-23,18.8,15.4,21.8,,3,26.9,1008.2
239,技辆,2021-04-24,17.5,13.3,24,,2,31.3,1008.7
239,技辆,2021-04-25,17.2,8.7,24.2,,1.7,46.5,1008.3
239,技辆,2021-04-26,16.2,9.9,22.6,,1.7,41.4,1010.2
239,技辆,2021-04-27,15.5,10.6,21.3,,1,56.4,1007.4
239,技辆,2021-04-28,15.7,12.3,19.7,,1.1,59.4,1005.5
239,技辆,2021-04-29,14.7,10.5,19.7,2233,1.6,61,995.2
239,技辆,2021-04-30,12.1,8.8,17,13,2,66.6,994.1
239,技辆,2021-05-01,10,8,14,512,1.8,75.1,995.6
239,技辆,2021-05-02,12.1,7.2,18.7,355,1.8,61.5,1005.7
239,技辆,2021-05-03,13.9,5.3,22.6,,1.1,55,1007.2
239,技辆,2021-05-04,16.4,11,22.2,2250,1.3,71,998.9
239,技辆,2021-05-05,14,8.1,19.9,1,2,51.4,1002.9
239,技辆,2021-05-06,15,5.7,23,,1.2,44.5,1005.4
239,技辆,2021-05-07,14.3,8.9,20.1,1102,1.7,52.9,997.1
239,技辆,2021-05-08,14.9,7.1,22.7,,1.8,57.5,994.7
239,技辆,2021-05-09,15.7,7.1,22.9,,1.9,48.3,999.6
239,技辆,2021-05-10,11.5,9.7,13.4,1242,1.4,80.9,1003.3
239,技辆,2021-05-11,15.9,11.6,20.7,1,2.8,61.9,1003
239,技辆,2021-05-12,19.6,13.9,25.3,,2.3,41.8,1001.5
239,技辆,2021-05-13,21.2,13.7,28.9,,1,55.8,1000.7
239,技辆,2021-05-14,22.7,14.9,30.5,,1.2,62,1000.5
239,技辆,2021-05-15,21.5,18.4,26.6,323,1.1,84.1,996
239,技辆,2021-05-16,20.8,17.7,22.2,105,1.2,93.6,990.4
239,技辆,2021-05-17,15.6,14.5,17.7,1304,1.1,93,996.3
239,技辆,2021-05-18,18.2,14.5,24.2,,1.1,75.6,999.9
239,技辆,2021-05-19,19.8,13.7,27.9,,1.2,58.3,1001.1
239,技辆,2021-05-20,16.2,15,19,1222,1.3,83.5,994.1
239,技辆,2021-05-21,14.7,12.9,16.5,1,1.5,87.1,995.6
239,技辆,2021-05-22,18,11.7,25.3,,1.4,71.3,1000.5
239,技辆,2021-05-23,19.5,12.6,25.8,,.8,66.8,1000.4
239,技辆,2021-05-24,19.4,15.3,24.8,,1.7,53,997.5
239,技辆,2021-05-25,15.5,11.4,20.6,636,1.7,64.1,997.4
239,技辆,2021-05-26,16.6,11.1,22.9,,1,61.1,997.6
239,技辆,2021-05-27,16.4,12.8,20.6,812,1.2,73.1,992.1
239,技辆,2021-05-28,14.4,11.2,18.9,1042,1.5,81.9,990.8
239,技辆,2021-05-29,17.8,11.9,23.8,,1.5,60.9,996.2
239,技辆,2021-05-30,19.3,11.5,27.3,2157,1.1,68,998.2
239,技辆,2021-05-31,19.1,15.4,25.6,207,.9,77.4,1000.6
