瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),1矫埃 弥促碍荐樊(mm),乞闭 浅加(m/s),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),老 弥缴利汲(cm)
239,技辆,2022-12-16,-5.1,-8.1,-2.2,,1.1,2.6,1019.1,
239,技辆,2022-12-17,-6.4,-9.6,-3,,1.4,2.5,1014,
239,技辆,2022-12-18,-8.9,-13.8,-5,,1,1.8,1012.5,
239,技辆,2022-12-19,-6.4,-13,-0.8,,0.7,2.3,1015.8,
239,技辆,2022-12-20,-3,-9.1,2.9,,0.6,3.1,1015.5,
239,技辆,2022-12-21,-0.1,-2.5,1.4,,0.7,5.3,1001.4,
239,技辆,2022-12-22,-5.1,-8.3,0.2,,2.5,2.9,999.5,
239,技辆,2022-12-23,-8.2,-10.7,-5.2,,3,2.1,1002.6,
239,技辆,2022-12-24,-9.2,-13.6,-4.2,,0.9,1.7,1009.8,
239,技辆,2022-12-25,-5.4,-12.1,2.4,,0.7,2.7,1012.8,
239,技辆,2022-12-26,-4.1,-9.7,1.4,,0.4,3.1,1015.3,
239,技辆,2022-12-27,-2.9,-8.9,3.2,,0.4,3.4,1018.2,
239,技辆,2022-12-28,-2.4,-5.5,2.8,,1.2,3.3,1019.3,
239,技辆,2022-12-29,-3.5,-8.5,1.5,,0.6,2.9,1021.7,
239,技辆,2022-12-30,-1,-3.9,3,,1,3.7,1020.9,
239,技辆,2022-12-31,-1.4,-4.8,4.5,,0.6,3.7,1020,
